epoch,loss,test_loss(cost),wight,bias,n_grad
0, 464.7825854775341, 450.75374146701836, [-0.1604208  31.16207892], 0.3643931968004756, [10.75677155 12.41658712]
1, 335.15625799702633, 386.11383757966524, [ 0.31304857 38.30322891], 0.3643931968004756, [-2.71986333  0.21993726]
2, 304.6705530721751, 384.55040474688974, [1.24882837e-02 3.95595087e+01], 0.3643931968004756, [12.02170742  6.21609489]
3, 190.0493977954979, 386.00169741215956, [ 0.28485134 40.21677959], 0.3643931968004756, [ 1.1803024  16.71511468]
4, 303.01212148140837, 386.71090066821444, [ 0.19189074 40.6168604 ], 0.3643931968004756, [13.74350271 -2.52596745]
5, 287.090290716233, 388.6415352484588, [ 0.93530923 40.44085063], 0.3643931968004756, [  6.49254025 -19.81560089]
6, 431.0559938914089, 385.4913321046682, [-0.07495856 40.34093784], 0.3643931968004756, [-14.2430874   -5.63769256]
7, 560.9973402771017, 385.5373586255235, [-0.08121884 40.36629068], 0.3643931968004756, [-5.04473764 -0.41377681]
8, 389.6793010339003, 385.7201980535644, [ 0.13132919 40.25913455], 0.3643931968004756, [-16.24568657   0.73907979]
9, 721.6439214295125, 386.3823037831369, [ 0.25916298 40.42481721], 0.3643931968004756, [15.78640572 -4.06476263]
10, 194.42661716168877, 386.7820231388014, [ 0.51758732 40.27753511], 0.3643931968004756, [ 9.40420299 -3.67080235]
11, 438.94262339520276, 386.20695708365196, [ 0.49075231 39.99626801], 0.3643931968004756, [ 5.57485101 -2.97335633]
12, 395.3132355051097, 385.85593003790365, [ 0.36965839 39.99820552], 0.3643931968004756, [-15.22877311   3.29348594]
13, 144.60904689570543, 384.9238797421115, [ 0.17308908 39.60189567], 0.3643931968004756, [ 7.02663928 -3.60767802]
14, 423.22110250502936, 384.84450744529533, [-0.22050041 40.12912391], 0.3643931968004756, [-10.64635626 -12.41168834]
15, 312.644276091329, 385.6862771700242, [ 0.42714914 39.71761155], 0.3643931968004756, [ 1.67168566 -8.7263609 ]
16, 453.24926766607075, 386.07827301399067, [ 0.42958688 40.03239105], 0.3643931968004756, [ 0.31811326 -0.53607631]
17, 571.9082686909356, 385.32319871344816, [-2.37752786e-02  4.02165762e+01], 0.3643931968004756, [ 4.98168203 -2.9473341 ]
18, 336.3568961771778, 384.83207656928926, [-3.23130026e-02  3.99300732e+01], 0.3643931968004756, [-6.02003761 11.03261306]
19, 345.28270131987773, 386.9021718969183, [ 0.27636296 40.61227375], 0.3643931968004756, [10.21080718 22.2659065 ]
20, 201.30087189042652, 385.6297411337866, [ 0.07981482 40.26870799], 0.3643931968004756, [-10.60681649  -0.92722507]
21, 315.81567435068814, 386.2717577826973, [ 0.28003498 40.35333138], 0.3643931968004756, [14.06558955  0.30041771]
22, 227.71385957668699, 384.72141986575394, [1.55856618e-02 3.97615148e+01], 0.3643931968004756, [ 6.05969301 -7.66525603]
23, 447.3096556531882, 385.2374103584969, [-0.11022222 40.24861229], 0.3643931968004756, [ 16.44422284 -10.44003808]
24, 597.037239925166, 384.6757907736094, [-0.05445335 39.8390392 ], 0.3643931968004756, [12.02678721  2.98915638]
25, 692.1808695787234, 386.38342879979643, [ 0.52582013 40.04104117], 0.3643931968004756, [20.42971642  4.13170699]
26, 849.3848798536364, 386.71600717372576, [1.06541215e-02 4.07498636e+01], 0.3643931968004756, [-5.51212644  7.53989162]
27, 855.151356343678, 386.1087031950709, [ 0.27638286 40.28125636], 0.3643931968004756, [ 30.54333198 -25.73284383]
28, 625.4192255668474, 386.0072351137706, [ 0.18614097 40.33677329], 0.3643931968004756, [-16.60730515   6.18914038]
29, 453.7650874416091, 387.0669305359377, [ 0.37145489 40.58075803], 0.3643931968004756, [10.90449823 -3.42546155]
30, 371.67859727100824, 385.6861932791744, [-1.13552555e-02  4.03774697e+01], 0.3643931968004756, [9.91789355 1.7174576 ]
31, 369.6302715766747, 385.3772993059197, [-0.04798376 40.2654008 ], 0.3643931968004756, [-10.95739489   9.09042766]
32, 413.4236285599667, 385.44550601773005, [ 0.12779551 40.11728981], 0.3643931968004756, [-8.54277738  3.41367987]
33, 281.318278377598, 385.6214806891835, [ 0.3026013  39.96123589], 0.3643931968004756, [9.61493672 6.2289568 ]
34, 315.4636084124593, 385.0918835300141, [-0.07092262 40.13783457], 0.3643931968004756, [ -3.71532106 -11.50643807]
35, 234.92081418250422, 385.92429381702044, [ 0.18263637 40.30188577], 0.3643931968004756, [-0.02606903 -6.44716628]
36, 279.7812831076511, 386.9140212113479, [ 0.1706768  40.70543524], 0.3643931968004756, [ -5.33042162 -19.54337657]
37, 948.561459269642, 387.0497116042013, [ 0.28312869 40.6591886 ], 0.3643931968004756, [13.9345404  36.74602245]
38, 375.52082871269147, 387.05432810991624, [ 0.54945773 40.35885022], 0.3643931968004756, [ 7.45607473 -8.59221702]
39, 347.23882005251664, 385.76523438909294, [ 0.10573629 40.30750071], 0.3643931968004756, [ 14.68377681 -11.11466843]
40, 290.2762175197589, 385.98208381118724, [7.04702223e-04 4.04917418e+01], 0.3643931968004756, [7.09439705 1.57015294]
41, 209.69644545877932, 385.73278926966066, [3.36588017e-02 4.03601582e+01], 0.3643931968004756, [-8.13700017  5.32032479]
42, 520.0845076442433, 385.95851546624004, [-0.10047213 40.55130969], 0.3643931968004756, [-16.11171368   9.21841757]
43, 345.95677370581006, 386.7106088793482, [ 0.44601119 40.34625615], 0.3643931968004756, [ 17.83895426 -26.15778967]
44, 245.8287271926161, 385.8834015410655, [ 0.34053002 40.06749396], 0.3643931968004756, [-1.33216452 -6.55162545]
45, 328.0890774589515, 386.45756882740216, [ 0.52933481 40.08062376], 0.3643931968004756, [  0.04746294 -12.86397659]
46, 307.0229853345878, 386.6839693752723, [ 0.37581376 40.42291217], 0.3643931968004756, [  0.12898982 -14.52945772]
47, 757.9505635731891, 385.56675403464925, [3.02856376e-02 4.02864778e+01], 0.3643931968004756, [ 0.46279111 40.12556314]
48, 376.6705329389635, 385.6174772351502, [ 0.19422363 40.1291786 ], 0.3643931968004756, [-17.87893034  -6.13389936]
49, 401.1064433340017, 386.6669889691759, [ 0.64548047 39.96630216], 0.3643931968004756, [ -4.1772752  -10.56099713]
50, 589.7845511217411, 385.5736409814875, [ 0.37378722 39.76039754], 0.3643931968004756, [ -0.01716938 -10.36812285]
51, 195.97453957932902, 384.3654155862864, [-0.0998787  39.59167659], 0.3643931968004756, [-16.28692371  -0.36164202]
52, 249.7736851894305, 386.06343116047714, [-3.85694611e-02  4.05512057e+01], 0.3643931968004756, [5.94816166 2.368712  ]
53, 551.8048805017523, 385.61193866765, [-0.15332645 40.44721109], 0.3643931968004756, [11.64216137 -8.77775002]
54, 256.5259909527149, 385.7742830375818, [-0.10557753 40.48279363], 0.3643931968004756, [  2.37640402 -12.23520104]
55, 252.31962109539572, 385.0437927544701, [-0.46923188 40.35846419], 0.3643931968004756, [-9.34995811 13.88824117]
56, 307.16085417693535, 384.733022077495, [-0.30264498 40.12538349], 0.3643931968004756, [-0.48002526 -6.80925535]
57, 174.78789082619446, 384.5804144167156, [-0.21438944 39.96038597], 0.3643931968004756, [-7.50020765 -8.09715858]
58, 625.2451034850377, 385.4719709827761, [ 0.22194712 39.99868539], 0.3643931968004756, [-11.87407692  16.22833004]
59, 547.7425661057653, 384.96280701969704, [ 0.08586678 39.84997121], 0.3643931968004756, [ 1.45695182 -4.56825895]
60, 296.84145509937514, 386.22889672961765, [ 0.40518994 40.16411676], 0.3643931968004756, [10.41522399 -1.33722514]
61, 517.5328134458714, 386.7188301206126, [ 0.39105835 40.41969132], 0.3643931968004756, [22.78086287 15.84000759]
62, 589.567296335229, 384.7767803474242, [-0.17684344 40.05299523], 0.3643931968004756, [-17.17394239  -3.77083909]
63, 291.5217548003595, 386.34695929426016, [ 0.06746367 40.58217819], 0.3643931968004756, [-14.08441312  -2.82960765]
64, 473.10696380707213, 386.07877103836205, [ 0.27308201 40.27073472], 0.3643931968004756, [ 0.83989911 10.36021279]
65, 397.3080844231459, 385.26025242125274, [ 0.22448033 39.83380991], 0.3643931968004756, [14.12122781 14.8457049 ]
66, 463.3777750590489, 385.4857367594423, [ 0.09779875 40.17570086], 0.3643931968004756, [  7.09939681 -20.93030524]
67, 263.73360563614676, 386.2852317893638, [ 0.50428842 40.0208246 ], 0.3643931968004756, [  1.66551099 -16.84807718]
68, 509.25747629724884, 385.7607302529399, [ 0.40269833 39.85675844], 0.3643931968004756, [-4.59200739 -6.12974634]
69, 526.8963356760123, 385.5461183000298, [ 0.05051701 40.25699219], 0.3643931968004756, [ 6.93307038 -7.87778171]
70, 426.4637974091872, 385.8488225329879, [-0.05392402 40.47787635], 0.3643931968004756, [12.010569   12.43527588]
71, 585.9779758091721, 385.60109970835066, [ 0.0708424  40.26375229], 0.3643931968004756, [-17.19093988  17.54224926]
72, 306.358405758362, 386.0228959373881, [ 0.12702058 40.40280986], 0.3643931968004756, [-0.29542012 14.03999856]
73, 337.01331740522676, 385.83621319455807, [ 0.38419506 39.95610274], 0.3643931968004756, [ 14.13924482 -24.43452364]
74, 307.33213973095883, 386.3321247656732, [ 0.26032707 40.40204372], 0.3643931968004756, [ 5.74436326 22.97373235]
75, 637.5099385773426, 386.3466538936553, [ 0.10830692 40.55019716], 0.3643931968004756, [-25.19149141  15.11198876]
76, 650.9289561035536, 386.92736546018597, [ 0.11637854 40.74984909], 0.3643931968004756, [-3.48957101  4.05714757]
77, 113.65017725353061, 386.1388753355955, [ 0.14932564 40.43131385], 0.3643931968004756, [ -3.98894194 -11.19681494]
78, 153.30289479871578, 387.0275510020772, [ 0.29635549 40.63932358], 0.3643931968004756, [-6.46263499 11.25234482]
79, 613.0622509450671, 386.2765660024073, [ 0.22913496 40.41109172], 0.3643931968004756, [-22.98048779  -0.24685578]
80, 161.8745965422372, 384.8013372892596, [-0.09524028 39.98595746], 0.3643931968004756, [ 0.15804858 -8.8120988 ]
81, 727.4660092521124, 385.6859832797012, [ 0.20618475 40.15176161], 0.3643931968004756, [ 5.53801856 12.99571407]
82, 711.0268429607465, 385.71178712532196, [ 0.20690481 40.16502999], 0.3643931968004756, [-6.85333474  2.7181006 ]
83, 469.01603470875637, 386.045867163474, [ 0.4889774 39.8807501], 0.3643931968004756, [23.23900637 15.00671364]
84, 703.8821703235972, 385.6064355552721, [ 0.25700583 40.03018052], 0.3643931968004756, [ 7.77970108 -4.66633659]
85, 226.7736696254242, 385.2025108694832, [ 0.05749525 40.06133874], 0.3643931968004756, [ 2.56574914 -1.29453167]
86, 375.48487986467006, 385.8720109660378, [ 0.46372865 39.79598539], 0.3643931968004756, [  6.83699875 -24.35829939]
87, 445.7268313245113, 385.93145804993736, [3.94238180e-02 4.04408943e+01], 0.3643931968004756, [-2.84155767  2.48928693]
88, 514.8883687862215, 386.058853724972, [ 0.43782235 40.00361706], 0.3643931968004756, [22.0098549   3.63390259]
89, 359.5988238928795, 385.9219217994955, [ 0.32857439 40.10995532], 0.3643931968004756, [4.33640836 6.24330312]
90, 393.43223494988536, 385.3016485528844, [ 0.2051799  39.90561615], 0.3643931968004756, [ -1.00541965 -12.04777644]
91, 82.24734237663898, 384.8585894258018, [-0.07387644 39.99984769], 0.3643931968004756, [8.33019561 1.77976264]
92, 560.5809613803511, 385.41377407050925, [ 0.18032863 40.02557189], 0.3643931968004756, [-1.93434114 14.90038142]
93, 640.8032031900829, 385.5878031429132, [ 0.13399768 40.1883694 ], 0.3643931968004756, [-20.57628641  10.78736233]
94, 231.2574156709473, 385.47425413025854, [ 0.10772886 40.15794024], 0.3643931968004756, [ -4.00804736 -21.27318205]
95, 741.5514956875919, 385.09650781430696, [-0.0921327  40.16022061], 0.3643931968004756, [ 16.71792359 -21.81903545]
96, 479.3935956481795, 385.77629482515067, [ 0.12743134 40.29053884], 0.3643931968004756, [ 4.77362129 -6.20319592]
97, 228.17886275387113, 385.5741198234404, [ 0.04974194 40.27146307], 0.3643931968004756, [9.52301911 2.37046914]
98, 384.773251233977, 387.32618529724897, [ 0.40251742 40.64423276], 0.3643931968004756, [ 9.49155219 -5.75846024]
99, 347.2957834022817, 385.6116622307563, [ 0.06273548 40.27695849], 0.3643931968004756, [ -2.33999777 -23.06243026]
100, 686.3658916972506, 385.34777308300704, [-3.61054378e-02  4.02403549e+01], 0.3643931968004756, [ 12.57475153 -13.28408479]
101, 522.1338096325522, 386.3568594304215, [ 0.08145604 40.57523312], 0.3643931968004756, [42.4554589  -1.86293598]
102, 534.6550009361537, 388.3531687291319, [ 0.59400187 40.79629843], 0.3643931968004756, [ 6.17735705 -5.91192078]
103, 149.75814308292854, 385.44701531094046, [3.31084482e-02 4.02246467e+01], 0.3643931968004756, [ 5.77099288 11.39678622]
104, 343.5213328570874, 385.1548792382532, [-0.28621021 40.32747375], 0.3643931968004756, [-2.38136533 -5.26156906]
105, 357.9359626080128, 384.2753091124536, [-0.33449356 39.84496305], 0.3643931968004756, [-0.80739281  8.11469226]
106, 171.03876246622835, 386.39302210956737, [-1.86982355e-02  4.06584518e+01], 0.3643931968004756, [0.93140974 5.82743349]
107, 545.0867556392034, 386.55410098914325, [ 0.39105457 40.34679286], 0.3643931968004756, [-16.93018689  12.57803968]
108, 271.4513588567228, 385.84166330838246, [ 0.31162834 40.08904816], 0.3643931968004756, [-10.15513913   7.60275126]
109, 455.0316318044617, 386.17174003104, [9.10196731e-03 4.05592139e+01], 0.3643931968004756, [-0.97267847 20.95798451]
110, 215.5796914082241, 384.95384986962455, [-0.25673219 40.21312592], 0.3643931968004756, [-4.79355454  2.68310099]
111, 455.66871527482897, 384.4304204366201, [-0.13955703 39.74614804], 0.3643931968004756, [-0.56975886  1.66540801]
112, 399.32139909728056, 385.5575493937034, [ 0.14619668 40.15735465], 0.3643931968004756, [ 9.47791944 12.22202179]
113, 197.4530000652597, 387.9081242561539, [ 0.37745948 40.86058367], 0.3643931968004756, [ 12.19170115 -11.42051356]
114, 367.7380051316395, 386.9538889466333, [ 0.42111762 40.48225847], 0.3643931968004756, [33.86812882  9.93519418]
115, 428.5441191831766, 386.2339009340555, [ 0.46822842 40.05862086], 0.3643931968004756, [-11.00448673  -4.78771369]
116, 421.6919614626457, 386.85905558027406, [ 0.08045402 40.75199073], 0.3643931968004756, [ -2.18098344 -11.51204603]
117, 416.1528506623522, 384.92822196546507, [ 0.0521338  39.87888496], 0.3643931968004756, [-10.52265319  -7.39814917]
118, 358.21320627996346, 386.76151645610645, [ 0.66286153 39.99065402], 0.3643931968004756, [20.3825584  18.88395523]
119, 289.84641441811016, 386.31521958522666, [ 0.50212446 40.04467129], 0.3643931968004756, [-1.57782598 -0.15423274]
120, 392.4181615506019, 385.1576875129457, [ 0.20593128 39.78156223], 0.3643931968004756, [22.68506209 -6.49333197]
121, 390.9135894275723, 384.5885386999712, [-0.19586541 39.94764372], 0.3643931968004756, [-0.98324002  9.28061648]
122, 282.0876231095072, 384.6802934148915, [-0.32894192 40.1126774 ], 0.3643931968004756, [-7.93904625  8.59856864]
123, 289.9618467231021, 385.5381946883835, [-3.51023297e-03  4.03036209e+01], 0.3643931968004756, [  4.39010995 -16.61101536]
124, 508.361923163965, 385.86157040288975, [ 0.3473311  40.04223129], 0.3643931968004756, [-17.92677616 -31.62430237]
125, 328.9769477522573, 385.0465592285302, [ 0.04903577 39.97106482], 0.3643931968004756, [6.6142859  4.84163067]
126, 347.06770329533214, 384.507096482471, [-8.81561089e-03  3.95562860e+01], 0.3643931968004756, [0.8268128  3.57984042]
127, 365.6741971949622, 385.9939402705825, [ 0.2462771  40.26195124], 0.3643931968004756, [-5.60745794  1.9494648 ]
128, 402.6295252898791, 387.1790028926736, [ 0.59800293 40.34398844], 0.3643931968004756, [6.10430019 7.82957757]
129, 432.19864356731944, 386.35867972358864, [ 0.3064928  40.36185444], 0.3643931968004756, [17.02773403 18.05374569]
130, 346.48768567583477, 386.90549645747035, [ 0.68513834 40.03512713], 0.3643931968004756, [  2.15567228 -16.72438646]
131, 238.88528948839604, 386.5518029252881, [ 0.49665984 40.19258263], 0.3643931968004756, [-1.81931196 -1.44941163]
132, 360.5342645890859, 386.44016393997794, [ 0.22098221 40.48723766], 0.3643931968004756, [10.33212362  1.95232949]
133, 463.442416823082, 385.44976225905566, [ 0.25285384 39.92919919], 0.3643931968004756, [-7.53988264  5.28726537]
134, 796.6760468759567, 386.35011400479635, [ 0.31998653 40.34190655], 0.3643931968004756, [ 28.75488124 -10.15238694]
135, 512.4219846551676, 384.8948854912241, [-0.09460006 40.04571421], 0.3643931968004756, [ 2.39551677 -7.4715573 ]
136, 433.53731391558256, 385.6847661552863, [ 0.10880506 40.2657357 ], 0.3643931968004756, [-18.7222518   -7.74671769]
137, 311.18069748910807, 386.84615050535757, [ 0.5942105  40.18396029], 0.3643931968004756, [-6.94948476 -1.85976081]
138, 130.46793440935107, 385.4374208758907, [-0.29043672 40.45133624], 0.3643931968004756, [6.26804739 1.63073339]
139, 455.25529175103776, 385.3582940795617, [ 0.2754682  39.80725013], 0.3643931968004756, [ -2.14139221 -21.12524381]
140, 270.1648169008808, 386.0941959033903, [ 0.34353563 40.18402204], 0.3643931968004756, [-0.64879473  1.50093092]
141, 436.74795791284726, 385.96916790317556, [ 0.267211   40.22313299], 0.3643931968004756, [ -9.77890905 -10.0802453 ]
142, 515.5002733510233, 385.56209762854405, [ 0.24441932 40.02180113], 0.3643931968004756, [4.80553184 0.59659285]
143, 217.33401029057228, 386.6351267322969, [ 0.38510047 40.39058786], 0.3643931968004756, [ 9.02434953 -1.88016023]
144, 752.7051229898696, 385.95785389721794, [ 0.35801397 40.08387192], 0.3643931968004756, [-25.20775739  -9.85417839]
145, 477.1492790119496, 386.48986844888367, [ 0.27527247 40.45303843], 0.3643931968004756, [6.54880541 4.00793468]
