epoch,loss,test_loss(cost),wight,n_grad
0, 1254.3304162114896, 2161.8043105920656, [-0.21792449  0.67466045 -0.04533477], [ 8.64854069 55.53355517  3.56939599]
1, 1560.2310974067261, 2108.5778923364146, [-0.19487513  1.3188288  -0.06395028], [ 2.30493576 64.41683448 -1.86155098]
2, 2291.7287101024685, 2030.2216166786034, [-0.05953408  2.29761989  0.13504652], [13.53410523 97.8791092  19.89968042]
3, 1569.4955373841035, 1977.3961649860596, [0.07594362 2.97379688 0.2841787 ], [13.54776966 67.61769932 14.91321809]
4, 1250.1569175266218, 1933.0362616102739, [0.23786336 3.54713522 0.27642656], [16.1919736  57.33383365 -0.77521456]
5, 1477.7373734544597, 1883.829910176782, [0.27703058 4.18339071 0.16668531], [  3.91672188  63.62554906 -10.97412499]
6, 1641.9069120961292, 1840.736712807292, [ 0.2309686   4.73977414 -0.12019164], [ -4.60619729  55.63834259 -28.68769449]
7, 1649.3865786476276, 1784.8520064121662, [ 0.16689558  5.48277604 -0.27840142], [ -6.40730241  74.30019046 -15.82097779]
8, 1322.1899913129364, 1739.9538124539927, [ 0.17096947  6.09873714 -0.21750209], [ 0.40738891 61.5961096   6.08993234]
9, 1530.4818115140401, 1689.772220831346, [ 0.02411896  6.7957749  -0.09190332], [-14.68505069  69.70377638  12.55987681]
10, 1534.3854086090535, 1638.1340865605318, [-0.07228532  7.51978806 -0.29656785], [ -9.64042776  72.40131613 -20.46645231]
11, 1302.4311776258714, 1603.915910266983, [-0.13332205  8.01301263 -0.27711375], [-6.10367315 49.32245644  1.94540927]
12, 1704.32270077561, 1551.7477172863746, [-0.22413629  8.77736982 -0.31406996], [-9.08142389 76.43571981 -3.69562032]
13, 936.5780470810121, 1525.4106915378698, [-0.39304725  9.16986183 -0.2208586 ], [-16.89109658  39.24920018   9.32113553]
14, 1378.058606686478, 1484.3096677902245, [-0.2824844   9.80082028 -0.13318883], [11.05628496 63.09584531  8.76697719]
15, 1024.6479113499734, 1454.8592315729213, [-0.45125224 10.25488377 -0.04696055], [-16.87678327  45.40634883   8.62282777]
16, 1294.725129848608, 1415.8030564347996, [-0.38299695 10.86995552 -0.06750081], [ 6.82552878 61.50717559 -2.05402593]
17, 1109.5945977980596, 1386.3503869472684, [-0.39348623 11.33870427 -0.13128403], [-1.04892786 46.8748743  -6.37832212]
18, 937.7762378881313, 1356.2919800574693, [-0.34530443 11.82600541 -0.20154199], [ 4.81818    48.73011407 -7.02579538]
19, 973.4668634360926, 1329.7598711495343, [-0.07220081 12.26959603 -0.27399419], [27.31036151 44.35906268 -7.24522038]
20, 853.3897771156562, 1302.6845113294353, [ 0.04858871 12.7254884  -0.33277462], [12.07895222 45.5892367  -5.87804248]
