epoch,loss,acc
0,2.135861873626709,0.484
1,2.1487598419189453,0.483
2,2.1169533729553223,0.486
3,2.1630139350891113,0.481
4,2.128328323364258,0.485
5,2.144651412963867,0.482
6,2.1616151332855225,0.485
7,2.2062416076660156,0.492
8,2.157496452331543,0.495
9,2.1622703075408936,0.504
10,2.1248867511749268,0.505
11,2.1166577339172363,0.502
12,2.1190483570098877,0.507
13,2.1551427841186523,0.523
14,2.112651824951172,0.519
15,2.1395959854125977,0.526
16,2.1437997817993164,0.531
17,2.0791409015655518,0.528
18,2.146524429321289,0.517
19,2.1369996070861816,0.511
20,2.151034355163574,0.514
21,2.1297011375427246,0.511
22,2.149322986602783,0.508
23,2.120051383972168,0.508
24,2.146449565887451,0.51
25,2.098959445953369,0.519
26,2.144803047180176,0.525
27,2.1405060291290283,0.525
28,2.1444756984710693,0.519
29,2.13456130027771,0.51
30,2.166300058364868,0.503
31,2.114978790283203,0.501
32,2.1087212562561035,0.496
33,2.12916898727417,0.5
34,2.1366052627563477,0.5
35,2.1367499828338623,0.506
36,2.160498857498169,0.508
37,2.1270244121551514,0.511
38,2.158620595932007,0.517
39,2.121004581451416,0.523
40,2.133669137954712,0.538
41,2.1363086700439453,0.542
42,2.1333861351013184,0.55
43,2.137483596801758,0.555
44,2.1219027042388916,0.558
45,2.1024725437164307,0.559
46,2.083430767059326,0.566
47,2.150348663330078,0.57
48,2.0952048301696777,0.571
49,2.138120412826538,0.564
50,2.130756378173828,0.561
51,2.120558738708496,0.559
52,2.1330273151397705,0.559
53,2.1086270809173584,0.555
54,2.128800630569458,0.552
55,2.1151559352874756,0.535
56,2.1329197883605957,0.531
57,2.085909605026245,0.522
58,2.13368558883667,0.514
59,2.1456875801086426,0.501
60,2.153391122817993,0.498
61,2.1166348457336426,0.49
62,2.096090078353882,0.483
63,2.115360975265503,0.479
64,2.1277050971984863,0.485
65,2.14520525932312,0.489
66,2.1330056190490723,0.481
67,2.1272778511047363,0.478
68,2.183225631713867,0.475
