epoch,loss,acc
0,2.296776294708252,0.099
1,2.2826716899871826,0.098
2,2.3461146354675293,0.098
3,2.3222198486328125,0.096
4,2.2953526973724365,0.092
5,2.3012611865997314,0.09
6,2.324573278427124,0.092
7,2.2895302772521973,0.093
8,2.313262939453125,0.097
9,2.3391599655151367,0.104
10,2.2721445560455322,0.107
11,2.309670925140381,0.107
12,2.3100104331970215,0.099
13,2.3060293197631836,0.099
14,2.3286385536193848,0.1
15,2.3031203746795654,0.1
16,2.299226760864258,0.1
17,2.3339765071868896,0.1
18,2.2865853309631348,0.1
19,2.309640407562256,0.1
20,2.2850611209869385,0.1
21,2.2952988147735596,0.1
22,2.2780704498291016,0.1
23,2.3036656379699707,0.1
24,2.3354732990264893,0.1
25,2.3011868000030518,0.1
26,2.3020498752593994,0.1
27,2.3000030517578125,0.1
28,2.3249447345733643,0.1
29,2.315767288208008,0.1
30,2.283207416534424,0.1
31,2.338679552078247,0.1
32,2.3026657104492188,0.1
33,2.3084018230438232,0.1
34,2.319880247116089,0.1
35,2.292513608932495,0.1
36,2.304135799407959,0.101
37,2.3082053661346436,0.106
38,2.314664840698242,0.112
39,2.3090341091156006,0.118
40,2.294881820678711,0.123
41,2.280003070831299,0.124
42,2.2792086601257324,0.124
43,2.2961392402648926,0.123
44,2.3048977851867676,0.118
45,2.3188459873199463,0.119
46,2.2891528606414795,0.12
47,2.3147454261779785,0.127
48,2.290501832962036,0.136
49,2.30669903755188,0.142
50,2.312312126159668,0.146
51,2.28371262550354,0.143
52,2.313856601715088,0.137
53,2.3020718097686768,0.125
54,2.2849583625793457,0.118
55,2.2973523139953613,0.112
56,2.3430869579315186,0.107
57,2.304241895675659,0.101
58,2.2938504219055176,0.101
59,2.3067493438720703,0.101
60,2.278310775756836,0.101
61,2.3118934631347656,0.101
62,2.327117443084717,0.104
63,2.31381893157959,0.105
64,2.2841405868530273,0.107
65,2.3224985599517822,0.111
66,2.3098320960998535,0.113
67,2.3152830600738525,0.114
68,2.2939517498016357,0.116
69,2.3120076656341553,0.117
70,2.292736053466797,0.122
71,2.316882848739624,0.133
72,2.317317008972168,0.144
73,2.275083541870117,0.162
74,2.3011550903320312,0.171
75,2.293030261993408,0.163
76,2.327854633331299,0.164
77,2.2987940311431885,0.155
78,2.3059139251708984,0.139
79,2.284886598587036,0.126
80,2.2986204624176025,0.121
81,2.2950775623321533,0.113
82,2.3156397342681885,0.11
83,2.312453508377075,0.108
84,2.27744197845459,0.108
85,2.313096284866333,0.109
86,2.3022756576538086,0.11
87,2.284480571746826,0.111
88,2.3031985759735107,0.113
89,2.3048551082611084,0.113
90,2.289159059524536,0.115
91,2.304536819458008,0.121
92,2.2904677391052246,0.134
93,2.3155221939086914,0.144
94,2.3060998916625977,0.157
95,2.300414562225342,0.172
96,2.301161050796509,0.181
97,2.304675817489624,0.176
98,2.305603504180908,0.166
99,2.3057169914245605,0.162
100,2.305116653442383,0.15
101,2.298846960067749,0.144
